latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
40.54002,141.4968,314.42,1.15,1.07,2022-02-20,0136,T,53,6.1NRT,274.74,19.82,D
40.53773,141.51003,328.71,1.15,1.07,2022-02-20,0136,T,0,6.1NRT,272.69,37.71,D
38.05936,117.22831,309.05,1.31,1.14,2022-02-20,0314,T,68,6.1NRT,278.84,16.05,D
38.00193,117.20496,317.19,1.31,1.14,2022-02-20,0314,T,77,6.1NRT,282.89,24.77,D
37.92811,117.04106,302.89,1.29,1.13,2022-02-20,0314,T,54,6.1NRT,283.97,8.3,D
38.04758,116.06866,305.84,1.16,1.07,2022-02-20,0314,T,62,6.1NRT,284.17,9.53,D
37.15242,118.0706,304.02,1.51,1.21,2022-02-20,0317,T,58,6.1NRT,285.36,12.06,D
37.4824,115.56623,303.73,1.13,1.06,2022-02-20,0317,T,57,6.1NRT,284.17,6.47,D
37.48028,115.57878,301.11,1.13,1.06,2022-02-20,0317,T,36,6.1NRT,284.71,4.72,D
37.22926,116.32075,301.38,1.23,1.1,2022-02-20,0317,T,36,6.1NRT,284.47,5.21,D
37.58157,112.17475,301.09,1.01,1,2022-02-20,0317,T,44,6.1NRT,280.88,5.66,D
37.58,112.18597,301.25,1.01,1,2022-02-20,0317,T,46,6.1NRT,280.59,5.57,D
36.98457,115.41677,311.17,1.13,1.06,2022-02-20,0317,T,56,6.1NRT,286.33,11.26,D
36.66219,115.95605,300.53,1.21,1.09,2022-02-20,0317,T,38,6.1NRT,284.41,5.79,D
36.60079,116.24801,301.7,1.24,1.11,2022-02-20,0317,T,49,6.1NRT,281.07,7.11,D
36.3153,115.58112,302.87,1.17,1.08,2022-02-20,0317,T,33,6.1NRT,285.23,4.18,D
36.17015,115.69246,300.57,1.19,1.09,2022-02-20,0317,T,17,6.1NRT,284.91,4.08,D
36.15921,115.5816,300.79,1.18,1.08,2022-02-20,0317,T,42,6.1NRT,284.82,4.2,D
36.01519,115.28017,301.27,1.15,1.07,2022-02-20,0317,T,46,6.1NRT,286.02,5.32,D
36.01757,114.88914,301.46,1.11,1.05,2022-02-20,0317,T,16,6.1NRT,285.59,4.46,D
36.01555,114.90128,302.34,1.12,1.05,2022-02-20,0317,T,33,6.1NRT,285.79,5.1,D
36.00826,114.8868,304.27,1.11,1.05,2022-02-20,0317,T,58,6.1NRT,285.23,6.58,D
36.00624,114.89893,303.52,1.12,1.05,2022-02-20,0317,T,55,6.1NRT,284.91,6.06,D
35.04235,115.47482,300.12,1.21,1.09,2022-02-20,0317,T,28,6.1NRT,281.42,6.97,D
35.10511,114.73868,315.58,1.13,1.06,2022-02-20,0317,T,76,6.1NRT,281.78,17.89,D
35.09042,112.55234,300.19,1,1,2022-02-20,0317,T,31,6.1NRT,284.23,3.92,D
33.70787,114.27673,303.36,1.12,1.06,2022-02-20,0317,T,56,6.1NRT,281,8.87,D
33.59769,114.38156,311.95,1.14,1.06,2022-02-20,0317,T,72,6.1NRT,281.68,16.38,D
33.07408,113.67961,301.19,1.09,1.04,2022-02-20,0317,T,45,6.1NRT,282.52,6.84,D
30.65072,113.41791,301.8,1.13,1.06,2022-02-20,0317,T,34,6.1NRT,271.99,8.86,D
19.51666,97.14669,312.62,4.68,1.98,2022-02-20,0321,T,54,6.1NRT,300.16,51.35,D
19.51752,97.13883,313.38,4.68,1.98,2022-02-20,0321,T,57,6.1NRT,300.5,57.54,D
15.17027,102.67628,319.72,1.56,1.23,2022-02-20,0321,T,67,6.1NRT,293.13,13.71,D
14.51812,105.89337,341.77,1.04,1.02,2022-02-20,0321,T,91,6.1NRT,292.47,41.14,D
14.4444,105.89552,324,1.04,1.02,2022-02-20,0321,T,78,6.1NRT,293.26,14.61,D
14.46484,105.68391,342.81,1.05,1.02,2022-02-20,0321,T,92,6.1NRT,288.56,40.79,D
14.45569,105.68258,325.72,1.05,1.02,2022-02-20,0321,T,65,6.1NRT,289.74,15.72,D
14.34587,104.39285,321.35,1.19,1.08,2022-02-20,0321,T,35,6.1NRT,294.58,12.63,D
14.09117,106.04986,315.26,1.02,1.01,2022-02-20,0321,T,39,6.1NRT,290.43,6.14,D
14.2523,104.31165,326.53,1.2,1.09,2022-02-20,0321,T,73,6.1NRT,297.45,17.88,D
14.21669,104.57037,325.03,1.16,1.07,2022-02-20,0321,T,46,6.1NRT,296.32,14.62,D
14.01004,105.6459,317.39,1.05,1.02,2022-02-20,0321,T,47,6.1NRT,293.12,7.08,D
14.06329,104.94424,321.01,1.11,1.05,2022-02-20,0321,T,62,6.1NRT,295.4,10.37,D
13.88078,106.16833,319.99,1.02,1.01,2022-02-20,0321,T,55,6.1NRT,294.83,9.77,D
13.87877,106.05402,326.38,1.02,1.01,2022-02-20,0321,T,79,6.1NRT,290.63,15.76,D
13.87108,106.04338,336.29,1.02,1.01,2022-02-20,0321,T,87,6.1NRT,293.02,28.84,D
14.03028,104.83553,320.58,1.12,1.06,2022-02-20,0321,T,60,6.1NRT,294.14,8.78,D
13.91677,105.65527,341.77,1.04,1.02,2022-02-20,0321,T,90,6.1NRT,295.57,39.5,D
13.91543,105.66481,320.28,1.04,1.02,2022-02-20,0321,T,69,6.1NRT,295.32,9.05,D
13.99689,104.89775,319.52,1.11,1.05,2022-02-20,0321,T,42,6.1NRT,292.51,8,D
13.87625,105.75012,320.89,1.04,1.02,2022-02-20,0321,T,69,6.1NRT,293.07,8.93,D
14.08429,104.04947,330.65,1.23,1.1,2022-02-20,0321,T,81,6.1NRT,298.14,22.43,D
13.54853,107.80227,322.95,1.02,1.01,2022-02-20,0321,T,74,6.1NRT,295.37,11.87,D
