"STATION","NAME","DATE","TMAX","TMIN"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-01-01","41","37"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-01-02","56","36"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-01-03","67","37"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-01-04","69","39"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-01-05","67","36"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-01-06","62","46"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-01-07","49","44"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-01-08","51","37"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-01-09","50","30"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-01-10","41","34"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-01-11","49","33"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-01-12","53","30"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-01-13","64","34"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-01-14","66","41"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-01-15","55","37"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-01-16","59","33"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-01-17","61","37"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-01-18","69","36"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-01-19","61","50"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-01-20","51","45"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-01-21","56","47"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-01-22","53","49"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-01-23","53","48"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-01-24","66","53"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-01-25","70","47"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-01-26","61","38"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-01-27","52","37"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-01-28","52","31"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-01-29","63","40"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-01-30","77","54"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-01-31","58","42"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-02-01","60","36"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-02-02","64","43"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-02-03","71","45"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-02-04","68","48"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-02-05","60","42"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-02-06","60","42"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-02-07","59","38"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-02-08","68","42"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-02-09","42","32"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-02-10","34","28"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-02-11","30","25"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-02-12","29","23"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-02-13","36","21"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-02-14","24","11"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-02-15","14","6"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-02-16","21","2"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-02-17","29","20"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-02-18","32","21"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-02-19","42","14"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-02-20","57","28"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-02-21","75","43"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-02-22","71","34"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-02-23","80","41"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-02-24","73","56"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-02-25","56","48"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-02-26","58","47"
"USW00013960","DALLAS FAA AIRPORT, TX US","2021-02-27","72","54"
